x_m,y_m
1.054621458053588867e+00,-1.142875328660011292e-01
-8.969847112894058228e-02,-9.959609061479568481e-02
-8.717874437570571899e-02,9.666624665260314941e-02
1.057141184806823730e+00,8.197480440139770508e-02
1.059660911560058594e+00,2.782371342182159424e-01
-8.465901762247085571e-02,2.929285764694213867e-01
-8.213929086923599243e-02,4.891908764839172363e-01
1.062180638313293457e+00,4.744994342327117920e-01
1.064700365066528320e+00,6.707617044448852539e-01
-7.961956411600112915e-02,6.854531764984130859e-01
-7.709983736276626587e-02,8.817154765129089355e-01
1.067220091819763184e+00,8.670240640640258789e-01
