x_m,y_m
1.912859082221984863e-02,-2.137696593999862671e-01
3.805640712380409241e-02,-2.136338353157043457e-01
5.664848908782005310e-02,-2.136759608983993530e-01
7.533717155456542969e-02,-2.138379365205764771e-01
9.018713235855102539e-02,-2.202544361352920532e-01
1.094690486788749695e-01,-2.214032709598541260e-01
1.319228410720825195e-01,-2.224565595388412476e-01
1.507136970758438110e-01,-2.239300012588500977e-01
1.698771417140960693e-01,-2.254879176616668701e-01
1.888708919286727905e-01,-2.195801883935928345e-01
2.080369442701339722e-01,-2.274622917175292969e-01
2.270087599754333496e-01,-2.221228629350662231e-01
2.460351139307022095e-01,-2.217477858066558838e-01
2.653338611125946045e-01,-2.271351069211959839e-01
2.837996482849121094e-01,-2.232787460088729858e-01
3.029313087463378906e-01,-2.158059626817703247e-01
3.225252032279968262e-01,-2.251154780387878418e-01
3.415067195892333984e-01,-2.256065607070922852e-01
3.606956005096435547e-01,-2.246852070093154907e-01
3.798364996910095215e-01,-2.296658307313919067e-01
3.992379903793334961e-01,-2.251023352146148682e-01
4.180590212345123291e-01,-2.249150425195693970e-01
4.370281994342803955e-01,-2.268178910017013550e-01
6.273130178451538086e-01,-2.348794788122177124e-01
6.461836099624633789e-01,-2.326404750347137451e-01
6.659557819366455078e-01,-2.333299219608306885e-01
6.847763061523437500e-01,-2.380580157041549683e-01
7.227926850318908691e-01,-2.292150557041168213e-01
7.415963411331176758e-01,-2.377353459596633911e-01
7.612357139587402344e-01,-2.297885417938232422e-01
7.804566621780395508e-01,-2.308148294687271118e-01
7.996925711631774902e-01,-2.317838817834854126e-01
8.186952471733093262e-01,-2.279587090015411377e-01
8.372958302497863770e-01,-2.279677093029022217e-01
8.561623096466064453e-01,-2.373636513948440552e-01
8.758335709571838379e-01,-2.275694012641906738e-01
8.946046829223632812e-01,-2.300161421298980713e-01
9.138678312301635742e-01,-2.261248826980590820e-01
9.330451488494873047e-01,-2.267433106899261475e-01
9.525807499885559082e-01,-2.239017635583877563e-01
9.712754487991333008e-01,-2.308935374021530151e-01
9.910716414451599121e-01,-2.237123399972915649e-01
1.010162830352783203e+00,-2.282270491123199463e-01
1.162423729896545410e+00,-2.562145702540874481e-02
1.160283207893371582e+00,-5.715455859899520874e-03
1.165433049201965332e+00,1.248473580926656723e-02
1.162792205810546875e+00,2.791615575551986694e-02
1.168459773063659668e+00,5.062377080321311951e-02
1.161848425865173340e+00,6.641206145286560059e-02
1.159668803215026855e+00,8.991587162017822266e-02
1.173109889030456543e+00,1.093714833259582520e-01
1.174361348152160645e+00,1.243840157985687256e-01
1.175605893135070801e+00,1.435956507921218872e-01
